card_name,card_number
Misty's Favor (Full Art),235/236
Gengar,38/111
Torchic,89/106
Team Magma's Secret Base,32/34
Yanma,116/144
Lt. Surge's Fearow,007/132
Lopunny,009/017
Professor's Research [Professor Birch] - 221,221
Golem,19/99
Energy Switch,82/109
Greninja ex - 132,132
Weedle,001/012
Multi Energy,93/100
Torchic - 008 (e-League),008
Zamazenta V (Full Art),163/172
Hoppip,55/75
Timburr,62/101
Grass Energy (2017 Unnumbered) (Wave Foil),
Pikachu & Zekrom GX (Full Art),162/181
Rhyhorn,61/64
Azelf - XY142,XY142
Blaine's Growlithe (35),035/132
Clawitzer - XY146 (Prerelease) [Staff],XY146
Scizor,007/012
Blaziken,001/106
Spinarak (Peelable Ditto),006/078
Blissey,102/145
Cherrim,14/100
Forretress,6/115
Ninetales,21/160
Toxtricity,GG09/GG70
Flygon ex,222/191
Espeon EX,52/122
Typhlosion,35/95
Hydreigon ex,240/191
Sylveon GX,SV76/SV94
Galarian Stunfisk V (Full Art),184/189
Drifblim - 135 (Prerelease) [Staff],135
Grimsley (Full Art),234/236
Vaporeon,006/017
Channeler (Full Art),232/236
Okidogi ex,082/064
Bronzong - XY21 (Prerelease) [Staff],XY21
Unown [A],65/130
Cottonee (Master Ball Pattern),004/086
Basic Fire Energy - MEE 002 (Cosmos Holo),002
M Rayquaza EX (Shiny Full Art),98/98
Jumpluff,09/64
Pokemon Nurse - 2004 (Chris Fulop),145/165
Hop's Zacian ex,186/159
Mega Mawile ex,162/132
Charmeleon,035/130
Maushold,226/193
Virizion,15/113
Minun,32/132
Chandelure,50/114
Fighting Energy - 2007 (Jeremy Scharff-Kim),
Hypnotoxic Laser - 2013 (Yugo Sato),123/135
Haunter,046/110
Hariyama ex,100/107
Weezing - XY163,XY163
Slither Wing,107/182
Naganadel GX - SM125,SM125
Blissey,153/214
Pikachu,070/100
Ralts,015/017
Ducklett - BW17,BW17
Latios (#30 Holo),30/30
Canari,291/217
N's Zoroark ex,189/159
Iscan (Secret),207/196
Dangerous Drill (Secret),192/181
Mewtwo GX (Secret Shining),78/73
Raikou (22),22/64
Magcargo - 2005 (Michael Gonzalez),20/107
Shaymin V,013/172
Pikachu - SM04 (Target Non-Holo),SM04
Mega Charizard Y ex - 030,030
Scyther,055/105
Diglett,61/112
Fan Rotom,RT1
Pikachu,115/114
Code Card - Primarina GX Premium Collection,
Hisuian Samurott - SWSH207,SWSH207
Gardevoir ex,96/100
Victini,172/086
Hoopa EX - 2016 (Shintaro Ito),36/98
Victini Prism Star - 2019 (Kaya Lichtleitner),7/70
Dragapult (Prime) - SWSH132,SWSH132
Salamence VMAX (Secret),194/189
Tyranitar (29),029/165
Froslass,2/99
Fog Crystal (Secret),227/198
Steelix,093/132
Bibarel,GG25/GG70
Darkrai VSTAR,GG50/GG70
Spheal,74/101
Chespin (Collector Chest),XY88
Dedenne ex,093/193
Gengar GL,40/111
Korrina (111 Full Art),111/111
Girafarig,058/144
Jirachi,42/108
Dragonite V - 2023 (Shao Tong Yen),154
Pidgeot (8),08/64
Arceus (AR7),AR7
Dark Pupitar,038/105
Sharpedo,38/108
Pikachu,54/214
M Diancie EX - XY44,XY44
Scott - 2006 (Jason Klaczynski),84/106
Oricorio - SWSH168 (Prerelease),SWSH168
Parasect,055/130
Joltik,150/142
Gardevoir EX (Secret),116/114
Ambipom,107/094
Mr. Mime ex,111/112
Lugia ex,082/131
Bloodmoon Ursaluna ex,222/167
Quagsire,44/115
Tyranitar (Prerelease),XY130
Fire Energy,107/111
Mew V (Full Art),250/264
Quilladin,13/146
Mew (Secret),025/025
Copycat - 2008 (Dylan Lefavour),73/101
Cacturne,027/108
Malamar,SV18/SV94
Rocket's Zapdos ex,106/109
Mothim,33/132
Torterra ex,185/162
Rocket's Sneak Attack (72),72/82
Pikachu ex,057/217
Vaporeon,022/098
Grovyle,28/106
Kingler V,028/172
Aegislash ex,230/182
Armarouge ex - 125,125
Morpeko - SWSH012,SWSH012
Dratini,62/102
Rayquaza V - SWSH147,SWSH147
Bagon,58/113
Cyrano,230/191
Treecko - 003 (e-League),003
Stoutland,83/114
Frost Rotom,RT2
Eviolite - 2012 (Zachary Bokhari),91/101
Sobble on the Ball,005/005
N's Zekrom - 031 (Pokemon Center Exclusive),031
Plusle,28/100
Ducklett (Master Ball Pattern),025/086
Powerglass,063/064
Scyther,46/115
Professor's Research [Professor Turo],190/198
Milotic,23/106
Melmetal ex - 104,104
Charizard,1/99
Cynthia's Guidance,136/147
Ancient Technical Machine [Rock],85/101
Grass Energy (WotC 2002 League Promo),
Acro Bike - 2018 (Pedro Eugenio Torres),123/168
Bellossom,3/115
Espeon (1),01/75
Alolan Exeggutor,002a/131
Zeraora V (Full Art),165/198
Thundurus EX,26/108
Stakataka GX (Secret),176/168
Celesteela - SM131 (Prerelease) [Staff],SM131
Team Rocket's Mewtwo ex,079/217
Tapu Koko - SM30a,SM30a
Cofagrigus,052/108
Virbank City Gym - 2015 (Patrick Martinez),126/135
Armarouge (What's Your Favorite Stamp),012/084
N (Supporter),105a/124
Heracross,041/105
Chili & Cilan & Cress (Secret),273/264
Super Scoop Up,083/095
Eiscue ex,210/197
Unown [G] - 2010 (Michael Pramawat),57/106
Psychic Energy - 2007 (Tom Roos),
Arcanine,22/149
Fire Energy (2009 Unnumbered POP Promo),
Vileplume ex,100/101
Ortega,219/197
Coalossal,SV069/SV122
Tyranitar (66),066/165
Marshtomp,41/109
Keldeo - XY191,XY191
Kabutops (24),24/62
Snorlax,118/162
Galarian Darmanitan VMAX (Secret),187/185
Giratina V (Full Art),185/196
Shaymin,33/214
Electabuzz - 1 [Winner],001/009
Jirachi,7/111
Tangrowth,6/149
Bloodmoon Ursaluna ex - 177,177
Fighting Energy - 2009 (David Cohen),
Dartrix,SV3/SV94
Chimecho (Delta Species),37/110
Beautifly,19/130
Skiploom,060/147
Torchic -  056,056
N - 2017 (Zachary Bokhari),105/124
Tropical Beach - 2014 (Trent Orndorff),BW50
Jolteon,45/95
Latias ex - 2025 (Yuya Okita),
Salandit (Ash vs Team Rocket Deck Kit),009/026
VS Seeker - 2017 (Diego Cassiraga),109/119
Mewtwo & Mew GX - 2019 (Henry Brand),71/236
Flygon,110/160
Silvally GX (Secret),119/111
Yanmega BREAK,8/114
Clefable,22/130
Psychic Energy - 2010 (Michael Pramawat),
Starmie,15/113
Glaceon - SM238,SM238
Lunala Prism Star,62/156
Sandaconda,SV071/SV122
Mewtwo,53/113
Code Card - Team Up Build & Battle Box,
Lightning Energy,126/130
Radiant Charizard,011/078
Krookodile (Team Plasma),70/116
Venusaur V,01/73
Pikachu V (Full Art),157/172
Pachirisu,80/214
Squirtle,29/149
Ludicolo (Alpha),37/160
Eevee,55/115
Articuno ex - 032 (EX Collector's Window Tins),032
Aroma Lady (Full Art),199/203
Hoppip (67) - 2010 (Yuka Furusawa),67/123
Welder (Full Art),214/214
Electivire,054/149
Hisuian Samurott V (Full Art),176/189
Wally,RC27/RC32
Charizard - SWSH066 (Prerelease) [Staff],SWSH066
Bellsprout,85/146
Larvesta (Master Ball Pattern),015/086
Vileplume (69),069/165
"Flareon - SM186 (Let's Play, Eevee!)",SM186
Rocket's Admin. - 2006 (Hiroki Yano),86/109
Darkness Energy,129/130
Moltres (Cosmos Holo),021/172
Victreebel,032/130
Single Strike Urshifu V (Alternate Full Art),151/163
Persian,078/064
Yveltal (Mega Evolution Stamped),088/132
PlusPower,084/102
Eevee - 043,043
Blastoise,16/101
Charizard VMAX - SWSH261,SWSH261
Minun,34/95
Water Energy (#11),11/30
Snover,100/091
Zygarde - SM15,SM15
Exeggutor (Delta Species),41/110
Alolan Ninetales,28/147
Celesteela GX,163/214
Golurk (Master Ball Pattern),043/086
Paldean Clodsire ex,219/091
Crobat (147),147/144
Greninja BREAK - 2016 (Cody Walinski),41/122
Feraligatr,17/119
Infernape,023/156
Mimikyu -160/091,160/091
Pidgeot,30/95
Munchlax,33/130
Seaking,43
Salazzle GX - SM63,SM63
Giovanni's Charisma,204/165
Entei GX (Full Art),71/73
Fletchling,1/30
M Camerupt EX - XY198,XY198
Malamar,051/131
Kleavor VSTAR (Secret),196/189
Gyarados,020/098
Pikachu (Red Cheeks),058/102
Schoolgirl (Secret),277/264
Double Rainbow Energy - 2008 (Dylan Lefavour),88/100
Amaura,27/131
Espeon & Deoxys GX - SM240,SM240
Radiant Eternatus,105/159
Ledyba,071/105
Meganium (Prime),109/123
Shauna (Full Art),263/264
Pidgeotto,028/130
Darkness Energy (Special),94/110
Palafin - 036 (Prerelease),036
Pichu (58),058/165
Venusaur,13/53
Pidgeot ex,164/197
Reuniclus - 212,212
Rocket's Sneak Attack (16),16/82
Boost Shake (Secret),229/203
Erika's Venusaur,004/132
Vanilluxe,113/086
Dragonite FB,56
Omastar,23/99
Marshadow GX (Full Art),137/147
Sawk (Master Ball Pattern),049/086
Pinsir (9),09/64
Cleffa,048/144
Suicune - SM149 (Prerelease) [Staff],SM149
Slowbro,090/084
Altaria ex,232/182
Koga's Beedrill,009/132
Hydreigon,062/111
Drampa GX,SV80/SV94
Rayquaza - XY64,XY64
Komala - SM41,SM41
Pidgeotto,034/110
Jirachi EX,60/101
Fighting Fury Belt - 2016 (Shunto Sadahiro),99/122
Slugma,6/39
Smoliv,102/091
Machamp,049/101
Helioptile,143/132
Claydol,15/106
Steven's Advice - 2008 (Dylan Lefavour),83/108
Volcarona,22/108
Tympole,103/086
Giovanni's Scheme,138/162
Cobalion,77/98
Larvitar,203/197
Scrafty (Team Plasma),86/135
Alolan Marowak,64/181
Snorlax (Delta Species),10/101
Jirachi - SM161 [Staff],SM161
M Lucario EX (Secret),113/111
Jolteon ex - 2007 (Tom Roos),109/113
Venusaur ex,182/165
Sableye,62/108
Hitmonchan,99/146
Slowking,12/123
Emboar,019/114
Hala,126/145
Arceus VSTAR,123/172
Code Card - Rapid Strike Urshifu VMAX Premium Collection,
Escavalier (Master Ball Pattern),060/086
Silvally GX,184/236
The Boss's Way,73/82
Klang,140/086
Gothitelle (48),48/98
Muk,016/110
Jirachi,99/181
Single Strike Urshifu V - SWSH106,SWSH106
Munna,007/012
Klinklang (Master Ball Pattern),063/086
Chandelure,020/099
Leafeon V (Alternate Full Art),167/203
Ampharos ex,89/97
Mega Gengar ex,125/217
Rowlet,SV2/SV94
Dark Patch,93/108
Musharna,59/99
Magma Energy,87/95
Crobat G - 2009 (Jason Martinez),47/127
Greninja V-UNION - SWSH158,SWSH158
Kiawe (Full Art),144/147
Articuno,161/159
Celebi VMAX,008/198
Espathra,081/182
Farfetch'd (Secret Rare),107/106
Growlithe,045/110
Luxio,136/091
Aurorus,024/088
Fuchsia City Gym,114/132
Feraligatr (4),004/111
Treecko,80/97
Parasect,35/64
Mega Sharpedo ex,113/094
Giovanni's Gyarados,005/132
Miltank,42/115
Charizard EX,11/83
Politoed (25),025/144
Grass Energy,108/111
Wailord,041/159
Ampharos (Prime),105/123
Froslass GL,6/111
Dunsparce - 2005 (Michael Gonzalez),60/100
Wigglytuff,147/091
Breloom,22/106
Houndoom (23),23/75
Bewear GX - SM34,SM34
Holon's Electrode - 2007 (Akira Miyazaki),21/113
Team Aqua's Sharpedo,18/95
Jellicent (Team Plasma),39/135
Miracle Sphere Beta,130/144
Shaymin EX,XY148
Milotic,028/124
Doublade (#14),14/30
Rocket's Zapdos,015/132
Magnezone (Prime),96/102
Forretress,009/017
Code Card - EX Tin [Reshiram],
Cradily,21/146
Magneton (20),020/144
Togedemaru - SM44,SM44
Dragonite FB,056/147
Hisuian Goodra VSTAR (Secret),202/196
Vivillon,017/146
Nidoqueen,42/116
Basic Darkness Energy (Cosmos Holo),007
Swablu (Shiny),SH5
Lightning Energy - 2004 (Chris Fulop),109/109
Vulpix,098/110
Bebe's Search - 2008 (Jason Klaczynski),119/132
Exeggutor,35/64
Keldeo - XY118,XY118
Yanmega - XY144 (Prerelease) [Staff],XY144
Duraludon VMAX (Alternate Art Secret),220/203
Bronzor,170/162
Bronzong,6/123
Zoroark and Legendary Pokemon (World of Illusions Promo),
Swirlix,RC19/RC32
Excadrill,056/098
Roserade GL,12/111
Heal Energy,008/017
Team Magma's Zangoose,22/34
Rayquaza C LV.X - DP47,DP47
Unit Energy FDY (Secret),146/131
Lunatone - 004 [Staff],004
Froslass - 117 (Prerelease) [Staff],117
Feraligatr - 089 (Prerelease),089
Spinarak,075/111
Pokegear 3.0 (Poke Ball Pattern),084/086
Corsola,32/101
Surfing Pikachu,111/108
Garchomp EX - XY167,XY167
Code Card - 2025 World Championships digital bundle,
Sylveon VMAX,075/203
Gardevoir & Sylveon GX (205) (Alternate Full Art),205/214
Bayleef (Delta Species),26/101
Light Dragonite,014/105
Articuno - SM144,SM144
Code Card - Mega Diancie EX Premium Collection,
Fidough,213/198
Vulpix,75/95
Trevenant - XY94 (Prerelease) [Staff],XY94
Raikou (Shiny),SL9
Aaron's Collection - 2009 (Tsubasa Nakamura),88/111
Primeape,28/112
Brigette (Full Art),161/162
Team Magma's Numel,1/34
Bellsprout (68),068/147
Sudowoodo,036/147
Dialga LV.X,105/106
Polteageist,SV053/SV122
Ditto (Bulbasaur),36/113
Marshadow - SM85,SM85
Imposter Oak's Revenge,76/82
M Gallade EX (100 Full Art),100/108
Steven's Advice,92/101
Poliwhirl,68/115
Alcremie - SWSH058,SWSH058
Rabsca,163/091
Torkoal (Secret),237/236
Pikachu (Movie),4
Eevee,51/64
Mewtwo VSTAR (86) (Secret),086/078
Pikachu,042/146
Probopass,7/99
Kyogre,12/95
Articuno,016/108
Weezing,34/123
Rare Candy,010/017
Raichu GX (Secret),75/73
Cynthia's Ambition (Secret),178/172
Dialga LV.X - DP37,DP37
Simisear VSTAR,GG37/GG70
Sprigatito - 191,191
Eevee,SV41/SV94
Mimikyu ex,069/159
Mimikyu V (Full Art),148/163
Iron Crown ex,158/131
Galarian Moltres,093/203
Pansage,007/114
Psychic Energy,136/146
Brawly (Full Art),188/198
Jirachi GX - 2019 (Henry Brand),79/236
Articuno EX (Team Plasma),25/135
Heal Energy - 2005 (Takashi Yoneda),94/107
Iris's Fighting Spirit,180/159
Nidoking,011/130
Victini,10/145
Drasna,231/191
Strength Charm,74/95
Dialga G,7/127
Groudon - XY52 (XY Black Star Promo),XY52
Lycanroc GX (Secret),155/147
Psychic Energy - 2006 (Miska Saari),
Barry (Full Art),167/172
Copycat (Secret),222/203
Copycat - 2004 (Tsuguyoshi Yamato),138/165
Mega Kangaskhan ex - 025,025
Venomoth,111/144
Cyllene (Full Art),183/189
Team Rocket's Mimikyu-GX (Ash vs Team Rocket Deck Kit),010/026
Bellossom,003/111
Darkrai - DP24,DP24
Lucario & Melmetal GX (Full Art),203/214
Melmetal VMAX (Secret),080/078
Dark Arbok,29/109
Chansey - 2008 (Paul Atanassov),76/123
Arezu (Secret),204/196
Bill,091/102
Lugia GX (Full Art),207/214
Mimikyu VMAX,TG17/TG30
Sandshrew,75/100
Porygon-Z (Team Plasma) - BW84 (Prerelease) [Staff],BW84
Technical Machine: Evolution,178/182
Buddy-Buddy Poffin,144/162
Galarian Obstagoon,119/202
Gliscor,004/090
Town Volunteers - 2004 (Chris Fulop),136/147
Boost Energy,008/017
Chesnaught,014/146
Sliggoo,095/086
Dragonite (43),043/165
Sprigatito ex - 087,087
Gyarados,007/130
Gardevoir EX (Full Art),111/114
Walrein,15/101
Cubone,40/95
Ice Rider Calyrex V (Full Art),163/198
Gyarados GX,18/111
Magnezone,GG18/GG70
Dialga GX,100/156
Entei EX,13/108
Unown (H),H/28
Aegislash EX,65/119
Meowth,77/113
Pikachu (Delta Species),93/92
Malamar - SM117 (Prerelease),SM117
Totodile,081/111
Umbreon,XY96
Arbok,176/162
Larvitar (Delta Species Stamp),73/113
Exploud,003/109
Turtonator GX,SV52/SV94
Sandy Shocks ex,108/182
Hisuian Decidueye VSTAR,084/189
Cherrim,15/99
Machamp,59/108
Misty's Poliwag,089/132
Palafin ex,151/131
Team Star Grunt,242/198
Magneton,028/110
Pikachu - BW54,BW54
Darkness Energy (Special),079/090
Galarian Slowking V (Full Art),178/198
N - 2015 (Rowan Stavenow),96/108
Spiritomb C,84
Houndoom (Prime),82/90
Multi Energy - 2006 (Jason Klaczynski),96/110
Hoothoot,TG12/TG30
Light Piloswine,026/105
Lucario,126/214
Kingdra ex,080/064
Fire Crystal (Secret),231/214
Poke Kid (Full Art),070/072
Tangrowth,10/99
Copperajah ex,245/193
Stunky,76/100
Okidogi,074/064
Alolan Ninetales GX,22/145
Unown (Z),Z/28
Basic Fighting Energy,258/198
Butterfree,5/83
Dragonite GX (Full Art),67/70
Archaludon ex,224/191
Fire Energy,126/130
Hoopa V (Full Art),253/264
Morpeko VMAX,038/072
Time Capsule,090/111
Pikachu,7
Exploud ex,92/100
Poliwrath,35/146
Phione (27),27/100
Poke Drawer +,89/100
Charmander,001/034
Shining Noctowl,110/105
Double Colorless Energy - 2011 (Ross Cawthon),103/123
Drifblim - 006 (Cosmos Holo),006
Giratina - SM151 (Prerelease) [Staff],SM151
Breloom,16/109
Holon Energy WP,106/113
Jigglypuff,68/123
Hop's Zacian ex,176/159
Charmeleon,29/100
Poliwag,059/102
Houndoom,5/90
Spiritomb,103/198
N's Zorua,097/159
Team Rocket's Petrel - 2025 (Liao Fu Guan),
Feraligatr,25/95
Nihilego GX,49/111
Riolu,215/198
Eevee - SWSH175,SWSH175
Shiftry ex,97/108
Feraligatr,017/119
Grookey,SWSH001
Magikarp,64/107
Alolan Meowth - SM43,SM43
Tranquill (Master Ball Pattern),072/086
Swampert,035/168
Acro Bike (Secret),178/168
Shinx - DP15,DP15
Unown [Z],060/105
Shaymin (15),15/156
Victory Cup - BW31 (Battle Road Autumn 2011) [1st Place],BW31
Kingambit,187/091
Dewott,106/086
Baltoy,60/106
Tapu Lele GX - 2018 (Pedro Eugenio Torres),60/145
Crobat V - SWSH098,SWSH098
Dark Machamp (10),10/82
Palafin,124/091
Articuno GX,SV54/SV94
Azelf,019/146
Charmander,58/112
Cofagrigus (Master Ball Pattern),040/086
Hypno,23/123
Lillipup,081/114
N - 2015 (Jacob Van Wagner),96/108
Nidorino (Delta Species),35/101
Basic Fire Energy,230/197
Ludicolo - 2005 (Michael Gonzalez),10/107
Giovanni's Nidoqueen,023/132
Unown [A] (14),14/75
Kangaskhan,204/182
Magikarp,XY143
Team Yell Grunt (Full Art),202/202
Klara (Full Art),SWSH302
Aqua Energy,86/95
Smeargle,48/115
Grumpig,6/97
Snorlax (11),11/64
Dedenne,RC10/RC32
Lugia Legend (Bottom),114/123
Hearthflame Mask Ogerpon ex,148/131
Slowking,49/108
Dark Golbat (7),07/82
Eevee (13),13/30
Wellspring Mask Ogerpon ex,064/167
Gladion (Full Art),109/111
Clefairy,005/102
Palkia (Full Art Promo),XY75
Machamp (49),49/101
Dragonite,005/020
Noivern GX,SV78/SV94
Giovanni's Machoke,042/132
Sylveon,072/111
Eevee,075/147
Typhlosion,032/123
Mimikyu V,062/163
Nanu (Full Art),179/181
Warp Point - 2009 (Jason Martinez),88/100
Team Galactic's Invention G-105 Poke Turn,118/127
Bronzong - SWSH091 (Prerelease),SWSH091
Electabuzz,041/108
Guzma - 2017 (Naoto Suzuki),115/147
Galarian Slowking V (Alternate Full Art),179/198
Arven's Greedent,205/182
Wartortle,50/112
Rare Candy - 2010 (Yuka Furusawa),82/95
Yveltal,078/146
Charizard VSTAR (Secret),174/172
Metal Energy (Special),94/109
Leafeon (Team Plasma),11/116
Manaphy,003/017
Rayquaza & Deoxys Legend (Top),89/90
Wigglytuff,72/111
Expert Belt - 2010 (Mychael Bryan),87/99
Flower Shop Lady,74/90
Arceus (AR9),AR9
Sandy Shocks ex,250/182
Zygarde GX (Full Art),123/131
Dark Ivysaur - 6 [Winner],006/009
Friend Ball - 2004 (Chris Fulop),126/144
Flareon - SWSH041,SWSH041
Energy Switch,107/084
Meloetta,85/162
Piplup - 2007 (Akira Miyazaki),93/130
Aegislash V (Full Art),177/185
Super Scoop Up (Secret),166/147
Warp Point - 2008 (Dylan Lefavour),88/100
Jirachi Prism Star,97/168
Warp Point - 2010 (Yuka Furusawa),88/100
Cherrim,006/017
Aggron,1/102
Zamazenta V (Secret),212/202
Mega Excadrill ex,065/084
Steven's Advice - 2006 (Jimmy Ballard),92/101
Furret,33/92
Unown [X],71/132
Gastly,076/110
Spheal,82/111
Energy Removal 2,89
Cleffa,31/53
Alakazam,001/102
Slugma,53/64
Fire Energy - 2008 (Paul Atanassov),
Double Colorless Energy,096/102
Cresselia - DP51,DP51
Fairy Energy (#22),22/30
Pikachu,131/091
Blitzle,114/086
Swampert EX - XY55,XY55
Eevee - SWSH095,SWSH095
Frosmoth,SV034/SV122
Pikachu - SWSH234,SWSH234
Amoonguss (Master Ball Pattern),011/086
Psychic Energy - 2005 (Curran Hill),
Basic Fire Energy (Cosmos Holo),002
Mega Dragalge ex,118/086
Growlithe,63/111
Morpeko V-Union [Set of 4],SWSH218
Pikachu ex (Pikachu 60),106
M Gengar EX (121 Secret Rare),121/119
Charizard & Braixen GX - SM230 (SM Black Star Promo),SM230
Crobat V,104/189
Delibird,049/144
Cramorant,176/167
Zubat,57/62
Piplup (Secret),239/236
Code Card - Destined Rivals Pokemon Center Elite Trainer Box (Exclusive),
Starmie BREAK,32/108
Charizard,014/181
Greninja,041/146
Yveltal,065/114
Suicune (Master Ball Pattern),024/131
Jynx ex,191/165
Swalot,9/99
Krokorok,064/114
Darkness Cube 01,119/147
Rocket's Suicune ex,105/109
Team Aqua's Manectric - 2004 (Chris Fulop),4/95
Galarian Sirfetch'd,SV064/SV122
Poliwrath,021/095
Oracle - 2004 (Reed Weichler),138/144
Munkidori,072/064
Castform Sunny Form,195/191
Chesnaught,11/162
Fairy Energy (#17),17/30
Eevee (63),63/100
Iron Hands ex - 2025 (Liao Fu Guan),
Magneton (26),26/62
Wailord,038/195
Lugia V (Full Art),185/195
Koffing,61/109
Team Galactic's Wager - 2008 (Paul Atanassov),115/123
Heat Factory Prism Star,178/214
Hop's Snorlax - 184 (Prerelease) [Staff],184
Pokemon Ranger,104/114
Lucario V,27/73
Delta Rainbow Energy,98/110
Nihilego GX (Full Art),103/111
Lightning Energy,100/102
Darkrai - XY22,XY22
Giratina - SM151 (Prerelease),SM151
Squirtle,14/101
Tropical Beach - 2011 (Ross Cawthon),BW28
Unown (?),?/28
Code Card - Mythical Collection Box [Volcanion],
Team Magma's Camerupt,19/95
Wartortle,034/214
Yanmega ex,228/182
Minior,201/182
Mystery Plate Gamma,135/144
M Mewtwo EX (63),63/162
Gengar (17),17/99
Porygon2 - HGSS23,HGSS23
Delphox,026/146
Lure Ball,128/144
Flaaffy,047/147
Brock's Rhydon,002/132
Stunky,102/130
Eldegoss,016/203
Great Ball,164/202
Nacli,176/091
Alolan Raticate GX,85/168
Scovillain,025/197
Squirtle,68/82
Sightseer,189a/214
Kingambit - 130,130
Vikavolt GX,45/145
Aipom,211/182
Prime Catcher,157/162
Fire Energy - 2011 (Ross Cawthon),
Mega Darkrai ex,048/084
Luvdisc,53/106
Mega Charizard X ex - 023,023
Team Rocket's Persian ex,219/182
Roxie's Performance,121/086
Rocket's Entei ex,97/109
Kyogre - XY51,XY51
Pignite,097/086
Jirachi GX,79/236
Popplio - SM24,SM24
Jolteon Star - 2008 (Jason Klaczynski),101/108
Ninja Boy,103/114
Pokemon Collector - 2011 (David Cohen),97/123
Giovanni's Scheme,138/165
Greninja (41) - 2016 (Cody Walinski),41/146
Pikachu VMAX,TG17/TG30
Tropius,27/101
Magikarp (Delta Species),69/110
Litten,167/162
Mr. Briney's Compassion - 2004 (Tsuguyoshi Yamato),87/097
Toedscruel ex,213/091
Emma,107/086
Fraxure,087/101
Lucario EX (107 Full Art),107/111
Baltoy - 2009 (Jason Martinez),60/106
Granbull,23/39
Crobat - 2015 (Patrick Martinez),33/119
Gardevoir,054/098
Butterfree,16/123
Alomomola,108/086
Team Rocket's Nidoking ex,216/182
Duskull,62/100
Team Aqua's Spheal,57/95
Iron Hands ex,154/131
Whimsicott,144/236
Latios,010/020
Rockruff - SM06,SM06
Jigglypuff,41/95
Roaring Moon - 2024 (Sakuya O.),109/162
Umbreon,22/95
Victreebel (30),30/64
Spiritomb,TG09/TG30
Gyarados,006/102
Venonat,097/130
Dratini,53/109
Skitty,113/160
Magneton (H19),H19/H32
Shining Rayquaza,56/73
Team Rocket's Petrel,226/182
Meganium - 001,001
Mew ex,193/165
Ruin Wall,74/75
Lillie's Ribombee - 183 (Prerelease) [Staff],183
Glaceon VMAX,041/203
Salazzle GX (Secret),151/147
Crasher Wake (Full Art),129/131
Water Energy (#8),8/30
Flutter Mane - 2024 (Sakuya O.),078/162
Zamazenta,102/185
Team Rocket's Harassment (Ash vs Team Rocket Deck Kit),026/026
Teddiursa,109/144
Excadrill (56),56/98
Nacli,220/193
Electivire FB,4
Pikachu (#29),29/30
Mr. Mime GX,67/181
Cynthia's Ambition (Full Art),169/172
Mary,087/111
Blaine's Ponyta,064/132
Snover,140/132
Xatu,44/132
Alolan Ninetales - SM128,SM128
Skarmory EX,80/146
Nidorina,053/130
Miraidon ex (Unnumbered),
Worker (Full Art),195/195
Ditto,GG22/GG70
Miraidon ex - 081/198 - 2024 (Jesse Parker Gold Signature),081/198
Steven's Metagross ex,289/217
Tulip,259/182
AZ - 2015 (Patrick Martinez),91/119
Piers (Full Art),187/189
Chimecho - 024 (e-League) [Winner],024
Judge (2019),108/131
Dialga EX (Team Plasma) (99 Full Art),99/101
Unown [T],67/123
Garchomp C Lv.X,145
Kingdra,19/64
Mewtwo (Delta Species),24/110
Fire Energy (2024),010
Elekid,022/111
Aurorus EX - XY102,XY102
Parasect,TG01/TG30
Voltorb,097/110
Mewtwo V-UNION,
Regidrago VSTAR (Secret),201/195
Milotic,70/147
VS Seeker - 2015 (Patrick Martinez),109/119
Metal Energy (#24),24/30
Pikachu,50/149
Kyogre - SM129 (Prerelease) [Staff],SM129
______'s Snivy,N/A
Riolu - 010,010
Snorlax (27),27/64
Moltres & Zapdos & Articuno GX,SM210
Shuppet,SV16/SV94
Mareep,82/127
Banette,14/102
Grovyle,31/109
Rayquaza VMAX (Secret),TG29/TG30
Dachsbun ex,169/142
Indeedee,153/198
Buzzwole - SM218 (Prerelease),SM218
Meganium,010/132
Banette GX (Secret),174/168
Victreebel (H30),H30/H32
Code Card - Mythical Pokemon Collection Box [Keldeo],
Lt. Surge's Bargain,170/132
Grass Energy,099/102
Omanyte,52/62
Uxie LV.X - 2010 (Yuta Komatsuda),146/146
Tyranitar,85/181
Shadow Rider Calyrex V (Alternate Full Art),172/198
Zigzagoon,85/100
Suicune GX (Full Art),200/214
Meowth,75/123
Delphox,17/131
Inteleon,SV027/SV122
Clefairy,81/122
Warp Energy (Secret),123/111
Scramble Energy,010/017
Latias ex,220/191
Genesect,XY119
Code Card - Cosmic Eclipse Single Pack Blister [Mismagius],
Braixen,TG01/TG30
Samurott (Master Ball Pattern),023/086
Arceus Prism Star,96/131
Marnie's Grimmsnarl ex,136/182
Rocket's Hitmonchan,011/132
Darkness Energy (Texture Full Art),158/159
Starmie,30/113
Spiritomb,148/132
Latias (Vstar Universe Japanese Exclusive),195/172
Metal Energy (2010 Unnumbered HGSS Style Non-Holo),
Girafarig,16/97
Raichu,45/100
Dawn Wings Necrozma GX,63/156
Chikorita,001/122
Drapion,097/088
Steelix,28/100
Sidney (Secret),279/264
Skitty (#1),1/30
Mankey,008/012
Espeon EX (Full Art),117/122
Unown [B],66/130
Basic Lightning Energy,257/198
Guzma & Hala (Full Art),229/236
Mew VMAX - 2022 (Andre Chiasson),114/264
Zygarde EX (Shiny),XY151
Computer Search - 2013 (Yugo Sato),137/149
