card_name,card_number,card_name_cleaned
Roxanne (Secret),206/189,Roxanne (Secret)
Necrozma GX,63/147,Necrozma GX
Skeledirge,038/198,Skeledirge
Iron Thorns - 098,098,Iron Thorns
Drednaw,039/185,Drednaw
Lycanroc GX - 2018 (Naohito Inoue),74/145,Lycanroc GX - 2018 (Naohito Inoue)
Tinkaton ex,262/193,Tinkaton ex
Flaaffy,077/165,Flaaffy
Holon's Castform,44/110,Holon's Castform
Potion Energy,101/110,Potion Energy
Bibarel - SWSH188,SWSH188,Bibarel
Bulbasaur,45/100,Bulbasaur
Squirtle,017/025,Squirtle
Altaria EX,83/124,Altaria EX
Kyurem EX - BW37,BW37,Kyurem EX
Beartic (Master Ball Pattern),026/086,Beartic (Master Ball Pattern)
Volo (Full Art),196/196,Volo (Full Art)
Mamoswine (Japanese 11th Movie Commemoration Set),006/009,Mamoswine (Japanese 11th Movie Commemoration Set)
Druddigon,17/20,Druddigon
Ampharos,1/115,Ampharos
Cramorant VMAX,055/072,Cramorant VMAX
Pidgey,016/165,Pidgey
Reshiram,017/116,Reshiram
Pokemon Collector - 2010 (Yuka Furusawa),97/123,Pokemon Collector - 2010 (Yuka Furusawa)
Dewott,029/114,Dewott
Professor Elm's Training Method - 2006 (Hiroki Yano),89/115,Professor Elm's Training Method - 2006 (Hiroki Yano)
Crobat (Prime),84/95,Crobat (Prime)
Charizard,136/135,Charizard
Chimecho (Delta Species),001/017,Chimecho (Delta Species)
Arcanine BREAK - XY180 (XY Black Star Promos),XY180,Arcanine BREAK (XY Black Star Promos)
Gloom,27/90,Gloom
Koga's Ditto,010/132,Koga's Ditto
Galarian Sirfetch'd,098/189,Galarian Sirfetch'd
Dugtrio,019/102,Dugtrio
Electrode GX,SV57/SV94,Electrode GX
M Sharpedo EX - XY200,XY200,M Sharpedo EX
Torchic,025/160,Torchic
Dark Persian,006/110,Dark Persian
Beautifly,2/109,Beautifly
Arcanine,023/102,Arcanine
Zorua,075/064,Zorua
Bronzong E4,16/111,Bronzong E4
Dark Steelix,10/109,Dark Steelix
Feebas,49/106,Feebas
Moltres - SM143,SM143,Moltres
Snubbull - SM200 (Detective Pikachu Stamped),SM200,Snubbull (Detective Pikachu Stamped)
Mega Zygarde ex,124/088,Mega Zygarde ex
Guzzlord,80/131,Guzzlord
Dudunsparce (Poke Ball Pattern),080/131,Dudunsparce (Poke Ball Pattern)
Genesect EX (Full Art),120/124,Genesect EX (Full Art)
Friends in Galar,TG23/TG30,Friends in Galar
Charizard,003/034,Charizard
Popplio,039/149,Popplio
Pikachu VMAX (Secret),TG29/TG30,Pikachu VMAX (Secret)
Red's Pikachu (Japanese Exclusive),270/SM-P,Red's Pikachu (Japanese Exclusive)
Cherrim,008/163,Cherrim
Rillaboom V (Full Art),175/192,Rillaboom V (Full Art)
Joltik,196/182,Joltik
Mightyena,17/39,Mightyena
Flaaffy,28/64,Flaaffy
Gyarados,6,Gyarados
Double Colorless Energy,103/123,Double Colorless Energy
Code Card - Greninja V-UNION Special Collection,,Code Card - Greninja V-UNION Special Collection
Kabuto [W Stamped],50/62,Kabuto [W Stamped]
Delcatty,5/109,Delcatty
Dialga GX (Full Art),125/131,Dialga GX (Full Art)
M Blaziken EX - XY86,XY86,M Blaziken EX
Miracle Sphere Gamma,131/144,Miracle Sphere Gamma
Pikachu (Pokemon Day 2026),051/162,Pikachu (Pokemon Day 2026)
Camerupt ex,92/106,Camerupt ex
Wartortle,042/100,Wartortle
Horsea - 2011 (Gustavo Wada),49/95,Horsea - 2011 (Gustavo Wada)
Giovanni's Nidoran M,076/132,Giovanni's Nidoran M
Fairy Energy (#18),18/30,Fairy Energy (#18)
Teal Mask Ogerpon (Cosmos Holo) (EB Games Exclusive),024/167,Teal Mask Ogerpon (Cosmos Holo) (EB Games Exclusive)
Moltres,14/99,Moltres
Volcarona V,021/203,Volcarona V
Ponyta (Shiny),SH11,Ponyta (Shiny)
Olivia (Full Art),111/111,Olivia (Full Art)
Simisear (Master Ball Pattern),015/086,Simisear (Master Ball Pattern)
Weavile (Team Plasma),66/116,Weavile (Team Plasma)
Slugma,67/90,Slugma
Hawlucha EX,64/111,Hawlucha EX
Galarian Zapdos,082/203,Galarian Zapdos
Pidgeot (59),059/165,Pidgeot
Gyarados,34/108,Gyarados
Typhlosion (18),018/111,Typhlosion
Cloyster,32/62,Cloyster
Misty's Determination (Full Art),108/108,Misty's Determination (Full Art)
Sandshrew,092/144,Sandshrew
Fuecoco,029/191,Fuecoco
Watchog (Master Ball Pattern),073/086,Watchog (Master Ball Pattern)
Ethan's Typhlosion,034/182,Ethan's Typhlosion
Wally's Training,89,Wally's Training
Manaphy,XY113,Manaphy
Unown (J),76/146,Unown (J)
Rhyperior LV.X,145/146,Rhyperior LV.X
Staryu,118/091,Staryu
Dark Muk,16/109,Dark Muk
Burmy Sandy Cloak,012/017,Burmy Sandy Cloak
Raikou,028/144,Raikou
Murkrow,181/091,Murkrow
Victory Medal - 2009-2010 (Battle Road Autumn),,Victory Medal - 2009-2010 (Battle Road Autumn)
Articuno (Cosmos Holo),036/195,Articuno (Cosmos Holo)
Mewtwo EX,52/108,Mewtwo EX
Venusaur,13,Venusaur
Marshtomp - 2004 (Reed Weichler),40/109,Marshtomp - 2004 (Reed Weichler)
Ditto,XY40,Ditto
Gyarados,021/098,Gyarados
Radiant Venusaur,004/078,Radiant Venusaur
Ampharos,001/017,Ampharos
Lt. Surge's Jolteon,028/132,Lt. Surge's Jolteon
Dedenne ex,239/193,Dedenne ex
Diglett,50/100,Diglett
Celebi V (Full Art),160/198,Celebi V (Full Art)
Abra,063/165,Abra
Moltres,030/110,Moltres
Teal Mask Ogerpon ex,177/131,Teal Mask Ogerpon ex
Purrloin,136/086,Purrloin
Bombirdier ex,234/182,Bombirdier ex
Swoop! Teleporter - 2005 (Michael Gonzalez),92/109,Swoop! Teleporter - 2005 (Michael Gonzalez)
Gabite,008/017,Gabite
Slowking,55/214,Slowking
Brock's Onix (21),021/132,Brock's Onix
Coalossal - SWSH024 (Prerelease) [Staff],SWSH024,Coalossal (Prerelease) [Staff]
Slowpoke,057/142,Slowpoke
Duraludon,SV092/SV122,Duraludon
Torchic (Wizard World Chicago),69/106,Torchic (Wizard World Chicago)
Gabite,048/123,Gabite
Mewtwo V - SWSH223,SWSH223,Mewtwo V
Shaymin VSTAR (Secret),173/172,Shaymin VSTAR (Secret)
Pikachu,27/111,Pikachu
Toxel,140/091,Toxel
Abomasnow,TG01/TG30,Abomasnow
Blastoise,2/102,Blastoise
Mightyena,018/108,Mightyena
Alolan Raichu - SM72 (Prerelease),SM72,Alolan Raichu (Prerelease)
Umbreon - 059 (Cosmos Holo),059/131,Umbreon (Cosmos Holo)
Ash's Pikachu - SM112,SM112,Ash's Pikachu
Moltres & Zapdos & Articuno GX (Secret),69/68,Moltres & Zapdos & Articuno GX (Secret)
Surskit,014/017,Surskit
Gyarados,,Gyarados
Potion Energy,82/82,Potion Energy
Machamp (51),051/165,Machamp
Vaporeon (Delta Species),18/113,Vaporeon (Delta Species)
Code Card - Black Bolt Pokemon Center Elite Trainer Box (Exclusive),,Code Card - Black Bolt Pokemon Center Elite Trainer Box (Exclusive)
Vaporeon,033/144,Vaporeon
Blastoise ex - 2006 (Hiroki Yano),104/112,Blastoise ex - 2006 (Hiroki Yano)
Flareon ex - 2006 (Jimmy Ballard),108/113,Flareon ex - 2006 (Jimmy Ballard)
Squirtle - SWSH233,SWSH233,Squirtle
Charmander - 044 (Pokemon Center Exclusive),044,Charmander (Pokemon Center Exclusive)
Buzzwole GX (Secret),115/111,Buzzwole GX (Secret)
Giratina,86/236,Giratina
Whimsicott ex,165/086,Whimsicott ex
Aipom,026/111,Aipom
Alolan Golem GX,34/111,Alolan Golem GX
Garbodor VMAX,101/203,Garbodor VMAX
Code Card - Dark Powers ex Special Collection,,Code Card - Dark Powers ex Special Collection
Blastoise GX - SM189 (Black Star Promos),SM189,Blastoise GX (Black Star Promos)
Professor Turo's Scenario,177/182,Professor Turo's Scenario
Exeggutor,109/108,Exeggutor
Rocket's Secret Experiment,120/132,Rocket's Secret Experiment
Charizard GX,SV49/SV94,Charizard GX
Popplio - SM03 (General Mills Promo),SM03,Popplio (General Mills Promo)
Pikachu (27),27/53,Pikachu
Dragonite FB - 2010 (Yuta Komatsuda),56/157,Dragonite FB - 2010 (Yuta Komatsuda)
Code Card - League Battle Deck [Mew VMAX],,Code Card - League Battle Deck [Mew VMAX]
Black Market Prism Star,134/181,Black Market Prism Star
Victini VMAX (Secret),165/163,Victini VMAX (Secret)
Shadow Rider Calyrex VMAX,TG18/TG30,Shadow Rider Calyrex VMAX
Erika's Dratini,042/132,Erika's Dratini
Litleo (Master Ball Pattern),015/131,Litleo (Master Ball Pattern)
Swablu,SV42/SV94,Swablu
Marowak,7/112,Marowak
Pichu,59/106,Pichu
Palkia & Dialga Legends,101/102 + 102/102,Palkia & Dialga Legends
Manectric,7/106,Manectric
Greedent VMAX (Secret),272/264,Greedent VMAX (Secret)
Lugia VSTAR (Secret) (211),211/195,Lugia VSTAR (Secret)
Chien-Pao ex,261/193,Chien-Pao ex
Professor Sycamore,114/114,Professor Sycamore
Gigalith,53/98,Gigalith
Krookodile,127/124,Krookodile
Electrode,022/110,Electrode
Hoothoot - 2025 (Yuya Okita),,Hoothoot - 2025 (Yuya Okita)
Unown (S),S/28,Unown (S)
Jolteon - BW91,BW91,Jolteon
Metang (Delta Species),49/113,Metang (Delta Species)
Dancer (Full Art),259/264,Dancer (Full Art)
Trevor (Wigglytuff),24/30,Trevor (Wigglytuff)
Chatot - 2008 (Jason Klaczynski),55/100,Chatot - 2008 (Jason Klaczynski)
PokeDex (HANDY909),96/112,PokeDex (HANDY909)
Dunsparce,60,Dunsparce
Bulbasaur,001/108,Bulbasaur
Here Comes Team Rocket! (15),15/82,Here Comes Team Rocket!
Fire Energy,116/123,Fire Energy
Hariyama,44/113,Hariyama
Xatu - 059 (Prerelease),059,Xatu (Prerelease)
Farfetch'd,43/64,Farfetch'd
Garbodor (Team Plasma) (67),67/135,Garbodor (Team Plasma)
Torterra,009/156,Torterra
Mega Latias ex,181/132,Mega Latias ex
Rocket's Scizor - 4,004/009,Rocket's Scizor
Lillie's Clefairy ex,056/159,Lillie's Clefairy ex
M Rayquaza EX (76),76/108,M Rayquaza EX
Pokegear 3.0,96/123,Pokegear 3.0
Code Card - Mysterious Powers Tin [Necrozma GX],,Code Card - Mysterious Powers Tin [Necrozma GX]
Mr. Mime,013/034,Mr. Mime
Mega Latias ex,100/132,Mega Latias ex
Wartortle,,Wartortle
Poliwag,125/165,Poliwag
Galarian Articuno - SWSH123 (Prerelease),SWSH123,Galarian Articuno (Prerelease)
Hitmontop,240/217,Hitmontop
Genesect - BW101,BW101,Genesect
Lapras ex,99/109,Lapras ex
Latias ex (Surging Sparks),076/191,Latias ex (Surging Sparks)
Luxio,008/017,Luxio
Deoxys Attack Forme,24/146,Deoxys Attack Forme
Lucario,014/095,Lucario
Deoxys (Delta Species - Speed Forme),6/110,Deoxys (Delta Species - Speed Forme)
Gardevoir,061/198,Gardevoir
Zamazenta VSTAR,099/159,Zamazenta VSTAR
Squirtle,170/165,Squirtle
Bronzor,58/102,Bronzor
Garchomp C LV.X,145/147,Garchomp C LV.X
Plusle,76,Plusle
Galarian Weezing,SV077/SV122,Galarian Weezing
Paldean Wooper,102/094,Paldean Wooper
Zebstrika,82/214,Zebstrika
Kangaskhan (5),05/64,Kangaskhan
Scizor,33/53,Scizor
Skeledirge ex,037/193,Skeledirge ex
Kirlia,51/127,Kirlia
Zoroark - SM89,SM89,Zoroark
Gym Trainer (Full Art),068/072,Gym Trainer (Full Art)
Purrloin,009/012,Purrloin
Banette ex,229/198,Banette ex
Scizor,032/147,Scizor
Wobbuffet - 2005 (Curran Hill),26/100,Wobbuffet - 2005 (Curran Hill)
Blastoise,137/135,Blastoise
Magcargo ex,191/167,Magcargo ex
Altaria,2/97,Altaria
Ivysaur,167/165,Ivysaur
Unown (O),O/28,Unown (O)
Togekiss (45),45/108,Togekiss
Ninetales EX,13/83,Ninetales EX
Heatran VMAX (Secret),191/189,Heatran VMAX (Secret)
Wooper,21/116,Wooper
Hitmonlee (7),07/62,Hitmonlee
Swellow,46/109,Swellow
Gardevoir,4/106,Gardevoir
Ponyta,004/034,Ponyta
Pikachu - DP16,DP16,Pikachu
Dawn Wings Necrozma GX (Secret Rare),161/156,Dawn Wings Necrozma GX (Secret Rare)
Windstorm - 2008 (Dylan Lefavour),85/100,Windstorm - 2008 (Dylan Lefavour)
Sylveon,040/131,Sylveon
Iron Treads ex,143/198,Iron Treads ex
Wigglytuff,56/123,Wigglytuff
Arcanine,001/123,Arcanine
Blastoise,025/181,Blastoise
Teammates - 2017 (Naoto Suzuki),141/160,Teammates - 2017 (Naoto Suzuki)
Vulpix,020/160,Vulpix
Manectric ex - 2006 (Jason Klaczynski),101/107,Manectric ex - 2006 (Jason Klaczynski)
Abra,69/123,Abra
Basic Water Energy (Cracked Ice Holo),011,Basic Water Energy (Cracked Ice Holo)
Delcatty ex,91/100,Delcatty ex
Lightning Energy (#6),6/30,Lightning Energy (#6)
Blastoise GX - SM189,SM189,Blastoise GX
Dark Claw,92/108,Dark Claw
Pikachu,61/90,Pikachu
Origin Forme Dialga VSTAR,SWSH256,Origin Forme Dialga VSTAR
Unown (B),B/28,Unown (B)
Pidgeotto (Delta Species),49/110,Pidgeotto (Delta Species)
Arcanine,50,Arcanine
Morpeko ex,117/084,Morpeko ex
Pikachu,74/112,Pikachu
Shining Genesect,9/73,Shining Genesect
Naganadel GX,56/131,Naganadel GX
Serperior - 064 [Staff],064,Serperior [Staff]
Metal Energy (Special),080/090,Metal Energy (Special)
Fighting Energy (Secret),169/145,Fighting Energy (Secret)
Psyduck - 007,007,Psyduck
Swellow (Delta Species),40/101,Swellow (Delta Species)
Togekiss VMAX (Secret),191/185,Togekiss VMAX (Secret)
Arceus LV.X - DP53,DP53,Arceus LV.X
Scramble Energy - 2007 (Akira Miyazaki),89/101,Scramble Energy - 2007 (Akira Miyazaki)
Salamence GX (Secret),73/70,Salamence GX (Secret)
Virizion GX,34/214,Virizion GX
Memory Berry,128/147,Memory Berry
Darkness Energy (2007-2008 League Promo),,Darkness Energy (2007-2008 League Promo)
Deoxys - SM164,SM164,Deoxys
Ludicolo,10/107,Ludicolo
Ultra Ball,102/108,Ultra Ball
Piloswine (24),024/144,Piloswine
Mightyena,66/146,Mightyena
Victini,26/236,Victini
Lumineon V (Full Art),155/172,Lumineon V (Full Art)
Slaking,103/124,Slaking
Slowbro - 083 [Staff],083,Slowbro [Staff]
Rock Guard - 2015 (Patrick Martinez),108/116,Rock Guard - 2015 (Patrick Martinez)
Drampa GX,115/145,Drampa GX
Emboar,27/113,Emboar
Light Machamp,025/105,Light Machamp
Torkoal,172/167,Torkoal
Popplio - 045,045,Popplio
Enamorus,180/167,Enamorus
Kecleon,94/116,Kecleon
Mimikyu - 075,075,Mimikyu
Koga's Grimer,078/132,Koga's Grimer
Ampharos GX (Full Art),163/181,Ampharos GX (Full Art)
Beast Energy Prism Star - 2019 (Shintaro Ito),117/131,Beast Energy Prism Star - 2019 (Shintaro Ito)
Delibird,152/132,Delibird
Abra,046/144,Abra
Dragonair,042/113,Dragonair
Boost Energy - 2004 (Kevin Nguyen),145/147,Boost Energy - 2004 (Kevin Nguyen)
Blanche (Secret),082/078,Blanche (Secret)
Rhyhorn,122,Rhyhorn
Mail from Bill,105/105,Mail from Bill
Mega Excadrill ex,103/084,Mega Excadrill ex
Jynx,28/115,Jynx
Vigoroth (#4),4/30,Vigoroth (#4)
Crobat G - 2010 (Yuta Komatsuda),47/127,Crobat G - 2010 (Yuta Komatsuda)
Telescopic Sight (Secret),203/185,Telescopic Sight (Secret)
Snorlax - SWSH032,SWSH032,Snorlax
Gossifleur - SWSH010 (General Mills Promo),SWSH010,Gossifleur (General Mills Promo)
Luvdisc,40/101,Luvdisc
Vaporeon VMAX - SWSH182,SWSH182,Vaporeon VMAX
Training Court - 2022 (Rikuto Ohashi),169/192,Training Court - 2022 (Rikuto Ohashi)
Dragapult V (Full Art),183/192,Dragapult V (Full Art)
Moltres,146/165,Moltres
Stufful,154/132,Stufful
Dark Charmeleon [W Stamped],32/82,Dark Charmeleon [W Stamped]
Joltik - 2025 (Liao Fu Guan),,Joltik - 2025 (Liao Fu Guan)
Druddigon,151/086,Druddigon
Kyogre - 2023 (Shao Tong Yen),003/025,Kyogre - 2023 (Shao Tong Yen)
Kingler,20/106,Kingler
Forretress ex,230/193,Forretress ex
Steelix,015/111,Steelix
Mega Latias ex,163/132,Mega Latias ex
Raichu,21/64,Raichu
Girafarig,16/92,Girafarig
Resistance Gym,109/132,Resistance Gym
Meloetta,077/149,Meloetta
Kabuto,037/144,Kabuto
Torchic,003/012,Torchic
Mew ex - 2025 (Riley McKay),,Mew ex - 2025 (Riley McKay)
Team Rocket's Tyranitar,096/182,Team Rocket's Tyranitar
Drilbur (Master Ball Pattern),045/086,Drilbur (Master Ball Pattern)
Solosis,118/086,Solosis
Pikachu - SM86 (Build-A-Bear Workshop Exclusive),SM86,Pikachu (Build-A-Bear Workshop Exclusive)
Tinkaton ex,240/193,Tinkaton ex
Pidgeot,77/106,Pidgeot
Froakie - XY138,XY138,Froakie
U-Turn Board (Secret),255/236,U-Turn Board (Secret)
Sabrina's Drowzee,092/132,Sabrina's Drowzee
Gothitelle - 2013 (Ian Whiton),47/98,Gothitelle - 2013 (Ian Whiton)
Lycanroc - SM118 (Prerelease) [Staff],SM118,Lycanroc (Prerelease) [Staff]
Herdier,155/086,Herdier
Raikou - HGSS19,HGSS19,Raikou
Rapid Strike Urshifu V,087/163,Rapid Strike Urshifu V
Eevee,012/012,Eevee
Pokemon Collector - 2010 (Yuta Komatsuda),97/123,Pokemon Collector - 2010 (Yuta Komatsuda)
Giovanni (18),018/132,Giovanni
Stunfisk,118/086,Stunfisk
Klang (Master Ball Pattern),062/086,Klang (Master Ball Pattern)
Metal Energy (#5),5/30,Metal Energy (#5)
Mantyke,55/130,Mantyke
Whimsicott (12),12/98,Whimsicott
Machamp EX,XY108,Machamp EX
Espeon ex - 2006 (Jimmy Ballard),102/115,Espeon ex - 2006 (Jimmy Ballard)
Raichu - DP21,DP21,Raichu
Nidoqueen - 2005 (Jeremy Maron),9/112,Nidoqueen - 2005 (Jeremy Maron)
Water Energy,165/165,Water Energy
Charizard Star (Delta Species),100/101,Charizard Star (Delta Species)
Team Magma's Groudon,9/95,Team Magma's Groudon
Team Aqua Technical Machine 01,79/95,Team Aqua Technical Machine 01
Max Elixir - 2018 (Pedro Eugenio Torres),102/122,Max Elixir - 2018 (Pedro Eugenio Torres)
Tatsugiri ex,226/191,Tatsugiri ex
Munna - 2013 (Ian Whiton),48/114,Munna - 2013 (Ian Whiton)
Prism Energy - 2014 (Haruto Kobayashi),93/99,Prism Energy - 2014 (Haruto Kobayashi)
Charmeleon,005/165,Charmeleon
Pokegear 3.0 (Secret),233/214,Pokegear 3.0 (Secret)
Single Strike Urshifu VMAX (Secret),167/163,Single Strike Urshifu VMAX (Secret)
Misty's Starmie,056/132,Misty's Starmie
Solgaleo Prism Star,89/156,Solgaleo Prism Star
Alakazam,001/130,Alakazam
Charmander,82/132,Charmander
Stunfisk,202/191,Stunfisk
Fighting Energy (WotC 2002 League Promo),,Fighting Energy (WotC 2002 League Promo)
Rotom V (Full Art),176/196,Rotom V (Full Art)
Magikarp,203/193,Magikarp
Growlithe,55/92,Growlithe
Gloria,TG26/TG30,Gloria
Jellicent ex,160/086,Jellicent ex
Fighting Energy (2010 Play! Pokemon),,Fighting Energy (2010 Play! Pokemon)
Sylveon GX,92/145,Sylveon GX
Blacephalon,32/214,Blacephalon
Gloom,036/111,Gloom
Meowth - BW35,BW35,Meowth
Dratini,072/110,Dratini
Forretress (9),009/144,Forretress
Clefable,014/034,Clefable
Friends in Sinnoh,131/159,Friends in Sinnoh
Cleffa - 037 (Prerelease) [Staff],037,Cleffa (Prerelease) [Staff]
Full Heal Energy,81/82,Full Heal Energy
Gardevoir VMAX (Secret),76/73,Gardevoir VMAX (Secret)
Shauna,111a/124,Shauna
Morpeko - SWSH116,SWSH116,Morpeko
Heracross,43/123,Heracross
Parallel City - 2018 (Magnus Pedersen),145/162,Parallel City - 2018 (Magnus Pedersen)
Lillie's Clefairy ex,184/159,Lillie's Clefairy ex
Charizard ex,054/091,Charizard ex
Probopass,13/146,Probopass
Volcarona - BW40 (Prerelease) [Staff],BW40,Volcarona (Prerelease) [Staff]
Unown [O],70/132,Unown [O]
Victini - SM225,SM225,Victini
Regirock ex,214/182,Regirock ex
Computer Search - 2013 (Jason Klaczynski),137/149,Computer Search - 2013 (Jason Klaczynski)
Houndour,60/109,Houndour
Lillie's Full Force (Full Art),230/236,Lillie's Full Force (Full Art)
Gengar,70/214,Gengar
Toxicroak G,40/127,Toxicroak G
Professor's Research [Professor Turo],241/198,Professor's Research [Professor Turo]
Charizard EX (11),11/106,Charizard EX
Brock's Geodude,068/132,Brock's Geodude
Metal Energy (130) - 2008 (Tristan Robinson),130/132,Metal Energy (130) - 2008 (Tristan Robinson)
Ampharos - Pikachu 28,109,Ampharos - Pikachu 28
Gyarados ex,109/112,Gyarados ex
Code Card - Lillie Premium Tournament Collection,,Code Card - Lillie Premium Tournament Collection
Hassel,205/167,Hassel
Darkness Energy (2009 Unnumbered POP Promo),,Darkness Energy (2009 Unnumbered POP Promo)
Latios,004/017,Latios
Metagross ex,95/101,Metagross ex
Max Potion (Secret),164/145,Max Potion (Secret)
Erika's Invitation,196/165,Erika's Invitation
Magma Basin (Secret),185/172,Magma Basin (Secret)
Espeon GX - SM35,SM35,Espeon GX
Pineco (86),086/144,Pineco
Morpeko V,037/072,Morpeko V
Mewtwo GX (Secret),76/73,Mewtwo GX (Secret)
Dark Dragonair,33/82,Dark Dragonair
Sandile,008/012,Sandile
Rocket's Scizor ex,101/109,Rocket's Scizor ex
Tympole (Master Ball Pattern),019/086,Tympole (Master Ball Pattern)
Machamp V (Full Art),171/189,Machamp V (Full Art)
Noctowl - 141,141,Noctowl
Computer Search - 2013 (Ian Whiton),137/149,Computer Search - 2013 (Ian Whiton)
Dark Golbat (24),24/82,Dark Golbat
Bidoof,54/100,Bidoof
Ninetales,,Ninetales
Reshiram,28/113,Reshiram
Entei (15),15/98,Entei
Slowking,28/106,Slowking
Volcanion Prism Star,31/131,Volcanion Prism Star
Loudred,39/101,Loudred
Vikavolt GX (Secret),152/145,Vikavolt GX (Secret)
Zeraora GX (Secret),221/214,Zeraora GX (Secret)
Gardevoir - 2008 (Jason Klaczynski),7/132,Gardevoir - 2008 (Jason Klaczynski)
Crobat (6),006/144,Crobat
Bisharp,064/114,Bisharp
Vaporeon (28),28/64,Vaporeon
Bastiodon - 085 [Staff],085,Bastiodon [Staff]
Chimchar,057/100,Chimchar
Alolan Ninetales (30),SM128,Alolan Ninetales (30)
Palpitoad (Master Ball Pattern),020/086,Palpitoad (Master Ball Pattern)
Charmeleon,002/034,Charmeleon
Meganium - 001 [Staff],001,Meganium [Staff]
Blastoise ex,200/165,Blastoise ex
Eevee,11/53,Eevee
Venusaur,1,Venusaur
Wailord EX,38/160,Wailord EX
Stantler,38/64,Stantler
Ultra Ball (Secret),186/172,Ultra Ball (Secret)
Rampardos,33/123,Rampardos
Natu,66/107,Natu
Tangrowth,29/100,Tangrowth
Blend Energy GRPD,117/124,Blend Energy GRPD
Victini Prism Star,7/70,Victini Prism Star
Shining Lugia - SM82,SM82,Shining Lugia
Pokemon Trader,077/102,Pokemon Trader
Water Energy (Secret),124/111,Water Energy (Secret)
Magmortar,31/132,Magmortar
Lycanroc ex,241/193,Lycanroc ex
Impidimp,SV083/SV122,Impidimp
Gyarados V (Full Art),171/203,Gyarados V (Full Art)
Hisuian Goodra VSTAR,136/196,Hisuian Goodra VSTAR
Cobalion EX,93/135,Cobalion EX
Gumshoos,153/132,Gumshoos
Team Rocket's Mimikyu,238/217,Team Rocket's Mimikyu
Ampharos ex - 016,016,Ampharos ex
Arven,235/198,Arven
Feraligatr - 089 (Prerelease) [Staff],089,Feraligatr (Prerelease) [Staff]
Jolteon,003/017,Jolteon
Pokemon Collector - 2011 (Ross Cawthon),97/123,Pokemon Collector - 2011 (Ross Cawthon)
Zapdos,29/83,Zapdos
Kirlia - 2025 (Riley McKay),,Kirlia - 2025 (Riley McKay)
Alolan Raichu,57/236,Alolan Raichu
Mareep,014/017,Mareep
Schoolboy (Full Art),261/264,Schoolboy (Full Art)
Starly,221/198,Starly
Rayquaza EX (123 Full Art),123/124,Rayquaza EX (Full Art)
Hitmontop,8/95,Hitmontop
Teal Mask Ogerpon ex - 166,166,Teal Mask Ogerpon ex
Holon Energy FF,84/101,Holon Energy FF
Fennekin,003/012,Fennekin
Latias ex - 2025 (Liao Fu Guan),,Latias ex - 2025 (Liao Fu Guan)
Cottonee,143/236,Cottonee
Surfer,187/191,Surfer
Stantler,102/144,Stantler
Mega Dragonite ex,271/217,Mega Dragonite ex
Tapu Lele GX,060a/145,Tapu Lele GX
Brock's Grit (Full Art),107/108,Brock's Grit (Full Art)
Mew (55),055/165,Mew
Pikachu,002/015,Pikachu
Team Flare Grunt,073a/083,Team Flare Grunt
Wobbuffet - HGSS04,HGSS04,Wobbuffet
Leafeon GX (Secret Rare),157/156,Leafeon GX (Secret Rare)
Computer Search,137/149,Computer Search
Zapdos,015/062,Zapdos
Charizard (6),006/165,Charizard
Lucky Stadium,41/53,Lucky Stadium
Marill,120/165,Marill
Amaura,025/111,Amaura
M Sharpedo EX - XY200a,XY200a,M Sharpedo EX
Arven,235/091,Arven
Eelektrik,114/086,Eelektrik
Rayquaza C,008/147,Rayquaza C
Fighting Energy - 2015 (Alejandro Ng-Guzman),,Fighting Energy - 2015 (Alejandro Ng-Guzman)
Slaking V (Full Art),077/078,Slaking V (Full Art)
Riolu,008/017,Riolu
Primeape,18/18,Primeape
Gym Badge (Koga),XY207,Gym Badge (Koga)
Chi-Yu ex,259/193,Chi-Yu ex
Sawk,130/086,Sawk
High Pressure System,85,High Pressure System
Absol G,1,Absol G
Dialga (23),23/127,Dialga
Deoxys VMAX - SWSH267,SWSH267,Deoxys VMAX
M Metagross EX - XY35,XY35,M Metagross EX
Ditto,201/091,Ditto
Roaring Moon ex,162/131,Roaring Moon ex
Wobbuffet (16),16/75,Wobbuffet
Aggron ex,95/100,Aggron ex
Kingdra,TG03/TG30,Kingdra
Professor Sycamore - 2018 (Robin Schulz),107/122,Professor Sycamore - 2018 (Robin Schulz)
Quagsire,26/109,Quagsire
Mismagius,212/193,Mismagius
Detective Pikachu - SM170 (Stamped),SM170,Detective Pikachu (Stamped)
Rare Candy - 2011 (Gustavo Wada),82/95,Rare Candy - 2011 (Gustavo Wada)
Luxray GL Lv.X,109/111,Luxray GL Lv.X
Hisuian Sneasler V (Alternate Full Art),175/189,Hisuian Sneasler V (Alternate Full Art)
Rowlet,SM01,Rowlet
Phanpy,100/147,Phanpy
PokeGear,088/111,PokeGear
N's Resolve (Full Art),232/236,N's Resolve (Full Art)
Iron Boulder (Master Ball Pattern),046/131,Iron Boulder (Master Ball Pattern)
Wigglytuff (89),89/146,Wigglytuff
Sceptile ex (Delta Species),96/100,Sceptile ex (Delta Species)
Masquerain,007/017,Masquerain
Blastoise (37),037/165,Blastoise
Dark Octillery,062/105,Dark Octillery
Toxtricity,068/094,Toxtricity
Togetic (H27),H27/H32,Togetic (H27)
Shadow Rider Calyrex VMAX (Secret),204/198,Shadow Rider Calyrex VMAX (Secret)
Hitmonchan - 2 [Winner],002/009,Hitmonchan [Winner]
Sableye,23/107,Sableye
